trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
138,False,"{'a': 0.5, 'e': 0.9903550441960673}",25,0,-195.65386365075602,"{0: 13, 1: 4, 2: 3, 3: 2, 4: 3}",0
139,False,"{'a': 0.5, 'e': 0.9902159962126371}",30,0,-139.1228496089887,"{0: 16, 1: 6, 2: 5, 3: 2, 4: 1}",0
140,False,"{'a': 0.5, 'e': 0.9900759580132933}",20,0,-99.40529259212376,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
141,False,"{'a': 0.5, 'e': 0.9899349297380738}",30,0,-139.8786277329073,"{0: 18, 1: 2, 2: 7, 3: 2, 4: 1}",0
142,False,"{'a': 0.5, 'e': 0.9897929115280072}",20,0,-164.02621039376376,"{0: 12, 1: 0, 2: 4, 3: 1, 4: 3}",0
143,False,"{'a': 0.5, 'e': 0.9896499035251115}",25,0,-211.1263213171237,"{0: 11, 1: 4, 2: 6, 3: 1, 4: 3}",0
144,False,"{'a': 0.5, 'e': 0.9895059058723947}",20,0,-123.2727824909833,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
145,False,"{'a': 0.5, 'e': 0.9893609187138546}",20,0,-83.60128634259073,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
146,False,"{'a': 0.5, 'e': 0.9892149421944781}",25,0,-169.47589479700105,"{0: 17, 1: 1, 2: 1, 3: 3, 4: 3}",0
147,False,"{'a': 0.5, 'e': 0.989067976460242}",20,0,-94.87371178529376,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
148,False,"{'a': 0.5, 'e': 0.9889200216581118}",25,0,-228.24077835807807,"{0: 12, 1: 2, 2: 5, 3: 3, 4: 3}",0
149,False,"{'a': 0.5, 'e': 0.9887710779360422}",20,0,-158.9011330507948,"{0: 10, 1: 0, 2: 7, 3: 1, 4: 2}",0
150,False,"{'a': 0.5, 'e': 0.9886211454429773}",20,0,-144.00485565094067,"{0: 9, 1: 2, 2: 6, 3: 2, 4: 1}",0
151,False,"{'a': 0.5, 'e': 0.9884702243288492}",25,0,-140.5824455839959,"{0: 17, 1: 2, 2: 3, 3: 0, 4: 3}",0
152,False,"{'a': 0.5, 'e': 0.9883183147445792}",20,0,-88.01737711905062,"{0: 10, 1: 1, 2: 9, 3: 0, 4: 0}",0
153,False,"{'a': 0.5, 'e': 0.9881654168420767}",25,0,-152.4593678678531,"{0: 14, 1: 2, 2: 4, 3: 4, 4: 1}",0
